name confidence ymin xmin ymax xmax
apple 0.946912 1028.191528 2686.462891 1078.066284 2713.564453
apple 0.910312 1796.441895 1181.958496 1859.611816 1231.447510
apple 0.902095 2997.017334 2884.853516 3058.435791 2940.404785
apple 0.901076 1930.393311 2367.373047 1995.859863 2421.064941
apple 0.897932 1720.589722 2509.339111 1765.385864 2534.700928
apple 0.896619 3187.390625 2645.606201 3254.422363 2696.598389
apple 0.891854 2094.638428 2465.900146 2141.717041 2499.551025
apple 0.890099 932.497620 2878.440674 985.763977 2924.977783
apple 0.880491 3478.967285 2605.924561 3541.958008 2657.750244
apple 0.873108 1199.344360 3749.128906 1258.845825 3803.048828
apple 0.869706 2554.372314 3000.169678 2623.779053 3051.959229
apple 0.869351 3232.528320 2947.742676 3287.723633 2995.836426
apple 0.867593 1765.414307 2185.805176 1816.872070 2236.475098
apple 0.864081 1695.846069 2272.712158 1742.893433 2319.034424
apple 0.862945 3273.022949 3799.798584 3304.831055 3845.972412
apple 0.862903 2137.574951 2263.476074 2205.643311 2319.619629
apple 0.859253 3519.427979 2666.496582 3574.914795 2715.566406
apple 0.858118 960.250977 2870.789307 1017.888184 2921.858643
apple 0.857882 3317.846191 2629.460449 3369.428711 2678.370605
apple 0.857057 1647.357422 1993.288330 1696.861084 2037.492920
apple 0.854041 3496.544434 1730.229858 3548.155762 1778.756470
apple 0.845719 3348.433594 2542.337158 3380.340332 2587.739014
apple 0.845420 2871.278809 3393.107422 2935.465332 3447.865234
apple 0.844155 2069.373779 2169.604004 2120.940186 2224.788574
apple 0.843429 1889.971680 2699.690186 1924.591309 2738.378174
apple 0.843328 2685.853027 3675.025146 2744.102539 3728.451904
apple 0.842724 881.618896 3737.935059 940.485107 3788.520020
apple 0.836396 1810.797607 2430.416748 1884.421387 2479.130615
apple 0.835989 3410.251709 2141.270020 3481.067627 2190.084473
apple 0.834481 1525.062622 2250.710693 1573.054077 2300.328857
apple 0.832900 1801.262573 2029.418579 1861.849243 2079.158691
apple 0.832684 1720.438965 2152.018799 1769.848389 2202.169678
apple 0.826583 1280.581787 2236.379150 1322.440918 2286.568604
apple 0.825622 2064.186768 2537.103516 2094.699463 2573.490234
apple 0.824044 1436.567017 2875.394775 1494.921265 2923.480713
apple 0.821425 3408.483154 2180.594238 3456.428467 2221.147949
apple 0.820832 3418.110596 3528.998535 3465.991943 3563.861328
apple 0.820632 3438.604004 2829.327393 3506.788086 2871.729248
apple 0.819692 1745.480957 2279.697998 1803.880127 2333.493408
apple 0.817259 1023.234802 3716.029541 1062.543701 3763.362061
apple 0.816928 3271.600098 2946.737061 3324.413086 2996.312256
apple 0.816117 1109.591431 1432.984375 1158.470825 1479.187988
apple 0.815418 3214.320312 3215.400146 3281.935547 3268.495850
apple 0.810877 1363.863403 3657.873291 1419.868286 3704.879639
apple 0.800395 3533.794189 2261.629150 3584.329346 2304.115479
apple 0.791136 2415.809814 3522.303223 2454.981201 3559.835938
apple 0.781802 1959.136719 2173.886719 2016.338379 2225.367188
apple 0.780283 872.095459 3763.706543 927.700928 3813.870605
apple 0.776927 1403.372681 2425.900879 1438.265503 2463.926758
apple 0.776328 1606.228394 2775.989258 1637.992065 2808.269043
apple 0.774763 3442.409180 2095.512695 3503.632324 2139.793457
apple 0.769500 1126.621460 2789.104736 1178.778687 2834.498291
apple 0.768542 3473.803223 3302.042969 3533.585938 3353.564941
apple 0.768423 1705.374756 2311.716797 1773.809326 2362.251465
apple 0.767677 3497.309326 2039.770508 3551.298584 2094.258301
apple 0.759041 2585.646973 3778.384277 2629.840332 3823.302734
apple 0.755699 3439.563721 2476.717041 3485.704346 2520.100342
apple 0.755628 3235.604004 3961.482178 3271.112305 4005.010986
apple 0.755452 1710.590454 2977.625732 1748.590454 3019.345947
apple 0.754126 1375.964844 2066.456543 1422.223389 2111.146484
apple 0.753816 918.747192 3759.763428 978.694824 3811.420166
apple 0.750948 3486.019531 2253.587891 3521.630859 2287.572266
apple 0.748416 1478.750977 2091.077393 1539.250244 2140.158936
apple 0.747415 3310.839844 3910.226074 3349.315918 3951.010742
apple 0.747304 3476.429688 3549.845215 3518.737793 3599.693359
apple 0.739640 3276.840332 2802.842041 3334.815918 2856.615479
apple 0.733558 206.443420 3068.990723 269.217865 3121.182129
apple 0.727040 1379.330200 2242.294922 1418.992798 2281.691406
apple 0.724645 1668.465088 2158.725342 1714.286621 2208.257080
apple 0.722654 1892.310181 2471.147461 1937.436157 2517.445801
apple 0.721782 1438.840332 3727.273926 1475.446045 3766.715820
apple 0.718592 3504.145264 2830.224854 3551.186768 2870.148193
apple 0.715692 3574.567139 3208.980713 3614.765381 3254.938232
apple 0.715332 3554.717529 4278.274902 3603.530029 4319.798340
apple 0.712883 3303.442871 3811.685791 3339.116699 3852.261963
apple 0.712120 2286.302490 2593.462158 2344.244873 2642.365479
apple 0.707379 1917.245117 2217.050537 1947.579834 2253.158447
apple 0.704841 3486.506836 2535.946777 3537.328125 2578.835449
apple 0.703112 1611.076660 1096.940796 1653.195557 1136.883667
apple 0.703061 1344.509155 3893.927979 1378.060913 3927.563232
apple 0.701543 3214.568359 2674.129150 3268.152832 2719.964600
apple 0.693774 766.596741 3915.347900 817.499207 3960.400146
apple 0.693056 875.747375 2923.374023 926.247498 2970.172852
apple 0.689023 1857.963989 2704.442627 1887.986450 2735.029053
apple 0.688945 3603.867432 2022.237549 3647.722412 2061.931396
apple 0.681853 2367.160889 4650.165039 2390.151611 4676.818359
apple 0.679899 3387.370117 2142.126953 3449.139648 2191.126953
apple 0.679544 3448.215332 1645.147461 3484.368164 1682.300293
apple 0.677837 700.255798 3475.353027 735.608093 3494.244141
apple 0.675106 977.706543 2654.567627 1022.176392 2699.090576
apple 0.672821 881.261230 1760.802856 929.486938 1804.022095
apple 0.668725 1550.660645 3755.427002 1572.630371 3780.612061
apple 0.667372 3431.868652 2621.396484 3474.901367 2662.836426
apple 0.659591 3400.431641 2426.533203 3454.441895 2467.214355
apple 0.658881 2662.754395 3830.580566 2686.937012 3862.442871
apple 0.658020 915.148132 3710.963135 971.598328 3751.235596
apple 0.655121 3363.191162 2733.508545 3424.139893 2789.259033
apple 0.655112 3591.278564 3480.534668 3619.960205 3508.624023
apple 0.650580 2613.768555 3603.280762 2661.597168 3653.967773
apple 0.641910 3456.631348 1686.559692 3500.320801 1725.382202
apple 0.641803 1465.387085 711.223633 1508.892944 755.962402
apple 0.635630 1558.301758 2913.819580 1605.058350 2959.597412
