name confidence ymin xmin ymax xmax
apple 0.918270 2459.519531 3295.349121 2508.575684 3348.759766
apple 0.917414 3212.423096 3135.852295 3259.874268 3165.584229
apple 0.915304 1926.902466 2086.094238 1992.021118 2144.608398
apple 0.895148 2508.241211 3303.556396 2561.478516 3352.546631
apple 0.893139 2537.325928 3355.225098 2586.621338 3409.346191
apple 0.892581 1476.338013 2494.724121 1545.157104 2545.615234
apple 0.892332 1985.000488 2783.356689 2047.291504 2829.678955
apple 0.890660 420.419678 3414.510010 481.615662 3466.891357
apple 0.890206 2585.239746 3795.195557 2627.498535 3829.425537
apple 0.889616 1728.616577 2335.903809 1800.470093 2385.888184
apple 0.887427 3208.386963 1748.650879 3267.743896 1794.369385
apple 0.887421 1842.455444 2394.767090 1895.979126 2442.219238
apple 0.885699 3306.723145 1720.073608 3369.861816 1772.264526
apple 0.885358 1853.097778 2352.821533 1906.525513 2401.771240
apple 0.880373 1900.019409 3848.408203 1956.467651 3903.112305
apple 0.879387 2453.486328 4144.002441 2505.696289 4194.660645
apple 0.878175 9.457546 4438.857910 51.483883 4470.526855
apple 0.876415 2398.170410 3659.591064 2453.778809 3708.594482
apple 0.871854 2360.929932 3305.689941 2430.976807 3359.648926
apple 0.868911 1920.405518 3251.135986 1956.918213 3293.372803
apple 0.863937 1501.281372 2422.234375 1550.066528 2464.971680
apple 0.851296 2185.986572 3796.348877 2225.474854 3840.397705
apple 0.850750 1905.198853 3165.609131 1941.618286 3214.003662
apple 0.849808 3121.315674 1729.217651 3174.569092 1780.695435
apple 0.846901 1577.767334 1744.722534 1635.579590 1792.154419
apple 0.846777 3230.628418 1783.551025 3293.577637 1829.704102
apple 0.844176 3585.419922 2405.869385 3644.960938 2457.560791
apple 0.839542 1537.665771 1686.363037 1568.589111 1715.145264
apple 0.839128 3169.563477 1724.818481 3215.750000 1773.145630
apple 0.836308 3337.992432 1722.963989 3389.386475 1775.787720
apple 0.835608 1660.525513 3659.093994 1709.988892 3705.072510
apple 0.834121 1759.302368 2341.164551 1814.354614 2389.791016
apple 0.832434 1143.909424 4068.957031 1185.896484 4115.052734
apple 0.831739 1493.115967 1394.856445 1525.696777 1427.998047
apple 0.826959 1666.984619 2664.299316 1704.875000 2699.187012
apple 0.824473 3459.175781 3545.584229 3504.888672 3596.210693
apple 0.823007 1508.151611 3988.194580 1566.947998 4040.480713
apple 0.822360 1877.811890 4128.498047 1923.011841 4174.748047
apple 0.819808 1623.533936 1803.980591 1674.875732 1849.788208
apple 0.818532 1926.557251 3294.225830 1962.772095 3329.762451
apple 0.817685 3592.217285 2043.520020 3648.000000 2093.935059
apple 0.813266 1665.982788 2253.333008 1719.722290 2304.238770
apple 0.811035 1965.666748 2815.432129 2031.648438 2866.474121
apple 0.809093 1594.767212 1631.146729 1663.365356 1680.291748
apple 0.808731 1667.887329 2562.131836 1695.288452 2591.349609
apple 0.805685 3150.095703 1704.965820 3214.646973 1758.694824
apple 0.805430 1674.099976 2271.015869 1721.884399 2318.494873
apple 0.801386 1669.281616 1833.932983 1715.451050 1876.476685
apple 0.799850 1471.840942 2544.012451 1513.326050 2573.672607
apple 0.795430 3394.634521 3534.577148 3453.554932 3586.248535
apple 0.795082 3457.922852 2632.995117 3493.617676 2677.119141
apple 0.788155 2074.566895 2489.690918 2127.453125 2532.509766
apple 0.787266 3588.401123 2067.690918 3648.000000 2122.233887
apple 0.785442 2201.288818 3818.127197 2244.542725 3847.632568
apple 0.784250 10.925823 3516.214844 71.018524 3568.921387
apple 0.782516 2396.979492 3313.876709 2432.940430 3357.296143
apple 0.782381 1895.578979 3126.377930 1931.128296 3149.054199
apple 0.779443 1511.574097 2396.395996 1571.529663 2440.003418
apple 0.778649 1804.247803 2111.298828 1860.340820 2162.509766
apple 0.774657 3617.531738 3454.610840 3648.000000 3499.443848
apple 0.768030 2019.640015 842.588806 2066.556641 883.719543
apple 0.766418 1450.004883 3739.649414 1484.289062 3762.162598
apple 0.764593 1263.595337 2691.460449 1304.442993 2734.432617
apple 0.764028 2392.654053 3776.653564 2424.426025 3816.696045
apple 0.763194 1563.147705 3940.479980 1604.721436 3986.516602
apple 0.756567 3447.354736 3589.599854 3492.475830 3613.249756
apple 0.753923 2489.939453 4295.676270 2550.193848 4340.182129
apple 0.750728 1799.354858 3670.396973 1848.705444 3716.618164
apple 0.745261 1642.926758 1767.542603 1686.272217 1812.408081
apple 0.745164 1685.478760 1024.704956 1727.892334 1057.315063
apple 0.742568 1907.589844 2631.519531 1957.252930 2679.646973
apple 0.739139 1661.179199 2988.783936 1689.851562 3021.416260
apple 0.738983 1466.918091 2003.133911 1536.591919 2053.552246
apple 0.736824 3611.687012 2200.860352 3648.000000 2255.455566
apple 0.736620 1585.631104 3992.611328 1639.219238 4040.048828
apple 0.735541 3391.318359 3577.816650 3437.250000 3618.338623
apple 0.733345 1630.205933 958.967834 1670.121216 994.055237
apple 0.730524 1158.196533 3184.705811 1198.441162 3226.000732
apple 0.727155 1964.278320 2343.468506 2037.548340 2394.298096
apple 0.722481 1678.957886 2895.018311 1730.866089 2938.452393
apple 0.713972 2800.886230 2763.080322 2861.437012 2812.672607
apple 0.713743 2094.774414 4231.155273 2142.836914 4275.579102
apple 0.712761 2125.237793 3870.108398 2164.152344 3920.685059
apple 0.709582 2232.208740 3786.026367 2270.023682 3815.936035
apple 0.706398 1856.335205 3682.604980 1890.025635 3729.394531
apple 0.705137 3372.794922 1814.781372 3426.861816 1858.520386
apple 0.703597 1718.964355 1614.849365 1758.667725 1653.840332
apple 0.702797 1555.065308 2419.068359 1601.987427 2460.970703
apple 0.702110 1886.031250 3518.047852 1933.401855 3559.553223
