name confidence ymin xmin ymax xmax
apple 0.921446 1829.887329 2204.581787 1895.359253 2259.967041
apple 0.912751 1540.702026 3263.987061 1596.571167 3309.285400
apple 0.909428 1416.516357 2964.987793 1491.180420 3023.545410
apple 0.906959 1849.803345 3860.607910 1909.849731 3913.981934
apple 0.906886 3268.441895 2980.603760 3316.991699 3009.627197
apple 0.905102 1775.337646 2093.985596 1845.543213 2150.415283
apple 0.901757 3502.723145 3755.190918 3550.611816 3789.273926
apple 0.900340 1656.899902 2254.210693 1721.719971 2307.384521
apple 0.896084 1933.082275 1466.894531 2001.080811 1517.618652
apple 0.895239 1351.510376 3702.594238 1412.114136 3757.304688
apple 0.894243 1526.050415 2389.711914 1572.461548 2424.940430
apple 0.892985 1745.203003 1639.119019 1815.365845 1692.873169
apple 0.890372 1511.314209 2291.800781 1561.926025 2342.687012
apple 0.890043 1448.448242 1824.805542 1512.375732 1872.129761
apple 0.887754 1242.111328 2214.892578 1284.463623 2252.634766
apple 0.882472 1450.212158 2100.115967 1490.480469 2138.629639
apple 0.880428 2247.500244 3098.690430 2304.716553 3145.861816
apple 0.878480 1603.512817 1299.316284 1655.296265 1349.464233
apple 0.876936 1697.487061 2474.477539 1756.926270 2525.254883
apple 0.876150 1821.845215 2014.589600 1892.961914 2067.303467
apple 0.872012 1973.051025 2835.548828 2029.427002 2884.674805
apple 0.871452 2579.410645 3193.317383 2638.738770 3243.022461
apple 0.867958 1569.891357 2010.028320 1612.133301 2048.630859
apple 0.867630 1384.751221 1735.461060 1443.414551 1785.870972
apple 0.866600 1563.513184 1281.690552 1619.232178 1332.328247
apple 0.863896 2602.400635 3186.739258 2659.684326 3240.642578
apple 0.863528 1925.106689 2824.231689 1974.902832 2873.653076
apple 0.863424 1773.973877 2784.551758 1815.288818 2825.076172
apple 0.863361 1176.076782 2187.121338 1236.119019 2235.576904
apple 0.862447 1547.539307 3224.276367 1617.540039 3270.884277
apple 0.862414 1301.330688 2711.195801 1351.847778 2763.861816
apple 0.861915 1589.078003 3061.235840 1655.030884 3111.428223
apple 0.860382 3471.046875 3309.846436 3530.546387 3361.719482
apple 0.856192 630.374023 3207.014160 686.762329 3257.304688
apple 0.855000 1622.153931 2580.128418 1651.344849 2611.597168
apple 0.852051 3460.870361 3166.907715 3535.656494 3221.068359
apple 0.849608 2445.640137 3039.479492 2501.719727 3088.626953
apple 0.849129 1766.133423 2585.080322 1804.027710 2632.052979
apple 0.843984 1859.548096 1984.984375 1913.701904 2030.437500
apple 0.834787 1406.596191 2979.795410 1464.911133 3033.485840
apple 0.834725 1418.215088 1562.052490 1481.491455 1610.604492
apple 0.834687 3493.816162 3055.436279 3525.534424 3085.873291
apple 0.834530 1427.413574 3085.516357 1455.843018 3116.850830
apple 0.833848 1697.942871 2510.887695 1741.547119 2546.018555
apple 0.833748 2052.231934 3793.181152 2115.916016 3846.076172
apple 0.832746 1734.580933 2008.466553 1769.785278 2053.748779
apple 0.831461 549.307800 3207.309326 575.515564 3239.064697
apple 0.830880 1426.496704 3117.845459 1468.046753 3150.632568
apple 0.829770 1093.185425 3791.178223 1152.593628 3847.004395
apple 0.828291 1076.833008 2451.267334 1104.473877 2479.719482
apple 0.827929 1227.647217 2425.637451 1283.522217 2473.910400
apple 0.824453 1246.021851 2032.075439 1315.912964 2083.067627
