name confidence ymin xmin ymax xmax
apple 0.918765 1940.356201 2745.847412 2037.899048 2826.583252
apple 0.901607 1493.538574 2263.273682 1583.154785 2348.873779
apple 0.889123 3131.835449 2802.488525 3184.615967 2853.415527
apple 0.886955 1468.466187 2400.880371 1551.644287 2480.091064
apple 0.886113 2110.260986 2141.150635 2204.091553 2222.994385
apple 0.885121 1622.341675 3400.850342 1700.147949 3477.722412
apple 0.884835 1847.873413 2795.202148 1937.447510 2871.482422
apple 0.879582 1581.930908 2268.509033 1669.707275 2347.463135
apple 0.876014 3056.239746 2968.251465 3101.271240 3007.902588
apple 0.874545 1395.283813 3472.065186 1466.709106 3547.531738
apple 0.872320 1329.302246 3384.849121 1409.993530 3459.893066
apple 0.869993 2073.102051 2838.804932 2121.744385 2878.436523
apple 0.868755 3224.051514 2941.036377 3270.524414 2989.036865
apple 0.861945 168.988907 3564.049805 235.974976 3634.534424
apple 0.844918 1206.173462 3721.837646 1268.880249 3790.355713
apple 0.844233 2036.106201 2521.840820 2082.627686 2573.124023
apple 0.839283 1119.159546 3794.149902 1181.824829 3861.668213
apple 0.839017 1948.172729 1913.286255 2000.319336 1963.410645
apple 0.838792 1434.974243 3274.042236 1508.943359 3340.948242
apple 0.828852 1742.141602 2516.257324 1840.190918 2595.480225
apple 0.821511 2854.607178 2573.710449 2898.718506 2621.853516
apple 0.811935 2052.386719 3475.353516 2116.818604 3549.725830
apple 0.807959 1884.219849 3974.627930 1922.626587 4016.594238
apple 0.802541 1447.674316 2359.959717 1505.095825 2407.181885
apple 0.786398 609.958618 2321.694092 664.758057 2369.346680
apple 0.781393 3116.628662 2902.759033 3158.189209 2946.380127
apple 0.753486 1281.214966 3395.300049 1340.081787 3461.904297
apple 0.744967 229.639404 3606.050049 270.355408 3641.786377
apple 0.738900 2136.565918 2116.295654 2210.822510 2184.235840
apple 0.726284 1438.705933 3155.226807 1496.960205 3215.880859
apple 0.715893 1598.371948 2892.399902 1660.805054 2956.314453
apple 0.701832 1977.686768 2774.390625 2050.058838 2842.984619
apple 0.688098 2851.760742 2819.468262 2907.607422 2874.506104
apple 0.678509 2067.568115 2458.750732 2127.071045 2511.972656
apple 0.675564 1506.374878 3024.926514 1553.951050 3054.136230
apple 0.669537 1273.850830 2556.773682 1334.650635 2614.423096
apple 0.658816 769.014221 3012.671631 814.875732 3059.827148
apple 0.656394 3265.997559 2973.991699 3302.706543 3011.138672
apple 0.626973 2148.517090 2535.787354 2214.155273 2607.316162
apple 0.625244 1906.141846 2469.307373 1957.648682 2520.043701
apple 0.614564 1459.077515 3245.915771 1536.582764 3305.572998
apple 0.610394 3221.507324 2912.503906 3256.623291 2938.359375
apple 0.586318 1496.106812 3248.877686 1547.835205 3305.126953
apple 0.585881 1214.371582 2588.791504 1262.552368 2644.624756
apple 0.578374 1460.220825 3206.389893 1527.850830 3244.623779
apple 0.532732 2934.341797 3140.145264 2985.564453 3191.710693
apple 0.513808 1129.607544 3841.232178 1184.624146 3899.394531
apple 0.501022 3185.161377 2844.561768 3234.264404 2884.588867
apple 0.491328 586.321045 3572.257568 649.658508 3635.139648
apple 0.477113 1095.503296 3576.536133 1161.365845 3631.946777
apple 0.472589 839.729797 2897.585449 895.488892 2954.000244
apple 0.455975 267.163544 2442.873779 297.611877 2470.420898
apple 0.455173 1795.712891 2928.373779 1832.010986 2987.236816
apple 0.454275 3361.994629 2970.938232 3378.868896 3017.065430
apple 0.438955 3451.747803 2919.871582 3467.312500 2932.932861
apple 0.433141 1251.919189 2680.762207 1312.640137 2743.057617
apple 0.428384 3384.407959 2929.096191 3405.344238 2941.852783
apple 0.425436 1889.729858 1903.184326 1945.474487 1956.423340
apple 0.399657 530.792725 2009.631958 579.469971 2058.940430
apple 0.387304 916.686035 2845.450928 993.937683 2913.296631
apple 0.369792 1555.069092 4871.862793 1621.260986 4930.083984
apple 0.352144 1733.741211 4070.732666 1779.319458 4128.639160
apple 0.330113 195.719879 3558.429443 242.778259 3600.994873
apple 0.329700 3218.160156 3017.129150 3255.680664 3045.041992
apple 0.326332 1690.226929 4341.348145 1744.468262 4391.159180
apple 0.321512 2385.644287 3803.162842 2440.662354 3854.670410
apple 0.300847 1259.978149 2750.166504 1326.631470 2805.509766
apple 0.300411 12.062299 3679.240723 68.364418 3733.242920
apple 0.297152 3042.871582 3051.125000 3078.682861 3089.982422
apple 0.290199 1203.793457 2471.367920 1247.788330 2506.330566
apple 0.283667 2012.464966 2787.926514 2057.192383 2831.775879
apple 0.277257 3364.511719 2988.735840 3380.292480 3022.500000
apple 0.276514 1848.865356 3501.518799 1893.261475 3545.729980
apple 0.270273 2633.296875 3912.860596 2710.586670 3977.540039
apple 0.260211 2464.983398 3967.253418 2519.935059 4020.063965
apple 0.253279 1927.961792 3384.702393 1983.179443 3450.424072
