name confidence ymin xmin ymax xmax
apple 0.930141 2243.747314 3096.343506 2335.640137 3154.240723
apple 0.923968 2223.396240 3363.748779 2322.646729 3445.692871
apple 0.922739 1921.695923 1463.435669 2010.614136 1544.270508
apple 0.919711 1939.484741 2309.239746 2036.007324 2389.688232
apple 0.915483 1542.478394 3220.411621 1637.401367 3306.055908
apple 0.912809 3452.163818 3155.809082 3544.101807 3237.691650
apple 0.912233 2359.963135 3505.900146 2458.793945 3592.071777
apple 0.911265 1724.860229 2427.956299 1819.076782 2505.606201
apple 0.909586 1741.274048 1632.745605 1828.025391 1714.359375
apple 0.908169 1761.264771 2089.673340 1845.949951 2172.237793
apple 0.908101 1867.529053 3085.676025 1933.339355 3138.547363
apple 0.904425 1646.852905 2254.729248 1729.479614 2341.749023
apple 0.902374 1407.369751 2959.581055 1492.557373 3040.603760
apple 0.902080 2186.326660 2280.070557 2281.104492 2361.238281
apple 0.901406 1184.317627 2341.007568 1278.477905 2418.530273
apple 0.899955 2372.558350 3163.606445 2470.120117 3242.829590
apple 0.897504 1268.539185 3295.230469 1358.913086 3362.125488
apple 0.896428 3577.798828 3171.202881 3648.000000 3248.375977
apple 0.895417 2577.762207 3183.218994 2657.346436 3252.317871
apple 0.892728 1377.450928 1816.158081 1448.898560 1870.915039
apple 0.891465 1349.043701 3703.501709 1412.931519 3755.341797
apple 0.891351 1241.539551 2027.025879 1334.603760 2103.656494
apple 0.890645 1816.703247 2002.124634 1904.664185 2079.056641
apple 0.889935 1391.176025 2319.975342 1494.182739 2406.932129
apple 0.880311 1657.098755 2653.897949 1730.455566 2731.656006
apple 0.876743 1821.705444 2200.249268 1897.158447 2271.494873
apple 0.875839 1080.277222 3790.876709 1155.064941 3865.551514
apple 0.873423 1397.530884 1915.958496 1481.085205 1990.180664
apple 0.873388 2049.461426 3785.709473 2137.249268 3854.352783
apple 0.873380 1178.570435 2183.515869 1261.602783 2253.256348
apple 0.873099 1838.476685 3861.577148 1910.097656 3939.829834
apple 0.868332 1618.426025 3500.482910 1683.998291 3559.959229
apple 0.867660 1503.776978 2288.096191 1568.159912 2352.123535
apple 0.865938 1697.131104 2477.202148 1751.518555 2545.760742
apple 0.863848 2465.127686 3236.861816 2553.145752 3316.218994
apple 0.863790 1388.103149 1735.649780 1442.299438 1788.673096
apple 0.862726 2278.459229 4078.303223 2373.412598 4158.522461
apple 0.860182 1965.727051 2827.527832 2032.661255 2883.274414
apple 0.858252 1453.201904 1818.172974 1531.298096 1878.705078
apple 0.857504 1368.156006 4070.049316 1453.345581 4145.504883
apple 0.856050 2430.999512 3035.799805 2504.726074 3098.586426
apple 0.852721 2027.637939 3361.485596 2128.256104 3442.739746
apple 0.851078 1565.375977 3597.423340 1625.527588 3642.309814
apple 0.851010 1882.868042 3632.669922 1960.702148 3704.946045
apple 0.850068 1925.293701 2823.068604 1975.331665 2873.953857
apple 0.849359 3353.437744 3059.526855 3430.889160 3135.556152
apple 0.848968 1713.409058 1319.072388 1793.717285 1385.083008
apple 0.843387 1449.752930 2098.135010 1491.942871 2142.559326
apple 0.843248 3264.722900 2978.933350 3325.578369 3010.376465
apple 0.838030 1529.724121 4325.219727 1607.142700 4370.913574
apple 0.837799 1456.721924 1672.756348 1525.581299 1726.535522
apple 0.836959 1498.519043 1989.106201 1577.824341 2060.247070
apple 0.826298 3462.042480 3302.875000 3542.651367 3369.436035
apple 0.824872 1904.377563 3138.200928 1987.924927 3204.896729
apple 0.822529 1305.116699 2710.771973 1348.525635 2763.099854
apple 0.822508 2425.397949 3945.479004 2506.266113 4026.217529
apple 0.821742 1559.839966 1293.001831 1646.307495 1361.558472
apple 0.820591 2390.723145 3928.968262 2492.395020 4011.288086
apple 0.819023 1418.249634 1556.040283 1486.516846 1621.819458
apple 0.818470 1375.296631 4104.493652 1451.057617 4177.487305
apple 0.814305 1679.969727 1983.779053 1757.780029 2050.883789
apple 0.811684 1769.103882 2780.629639 1826.904419 2827.154541
apple 0.811151 1971.496582 3856.080322 2026.950806 3922.284668
apple 0.804203 1966.614624 2787.673828 2027.348145 2825.434326
apple 0.803684 1315.816040 1920.096680 1382.092773 1983.472046
apple 0.802368 1755.515991 3858.790527 1799.243042 3907.886230
apple 0.797356 1569.795776 1320.232544 1643.438965 1376.861938
apple 0.794246 1424.793945 3088.678711 1470.086548 3146.928223
apple 0.784690 546.769470 3205.705078 577.481018 3239.445557
apple 0.784480 1418.248535 3359.196777 1484.703735 3387.890869
apple 0.782554 1583.425903 1236.787842 1641.831787 1283.118286
apple 0.775890 1935.679810 3942.646973 1989.969849 3988.091553
apple 0.775290 2591.308838 3713.721680 2678.017334 3775.486084
apple 0.772810 1482.612671 2591.008789 1560.919189 2658.139893
