name confidence ymin xmin ymax xmax
apple 0.952023 2247.177246 3097.322266 2336.921387 3159.013916
apple 0.928403 2046.220947 3786.877930 2145.307129 3853.043945
apple 0.922977 1817.897095 2002.784302 1907.262085 2076.343262
apple 0.920407 1448.346680 1821.420288 1528.851685 1880.991455
apple 0.920351 1616.418579 2245.014160 1731.552490 2356.855957
apple 0.917144 1923.477295 1458.553589 2009.776367 1548.365112
apple 0.907137 2374.275635 3153.455078 2484.038818 3255.801758
apple 0.905358 1274.375977 3296.021484 1370.138428 3365.020752
apple 0.902895 2579.266113 3185.171387 2662.043945 3259.875732
apple 0.898184 1824.186157 2206.294922 1897.172119 2267.561523
apple 0.897074 2352.331787 3504.039307 2464.657959 3601.025635
apple 0.895846 1938.938843 2304.572021 2039.844604 2400.010498
apple 0.895781 2217.758545 3357.493652 2321.573486 3460.140137
apple 0.894704 1181.900635 2335.812744 1281.588989 2432.531982
apple 0.892518 1381.835083 1910.378784 1476.995972 1991.708984
apple 0.892469 1721.104858 2418.305176 1830.468872 2520.206543
apple 0.891903 2023.732056 3357.358154 2136.042725 3456.000732
apple 0.891891 1243.126709 2025.620972 1335.068481 2117.105957
apple 0.891726 1613.239990 3501.677734 1679.998901 3563.309082
apple 0.891391 2183.431885 2273.084473 2286.567139 2371.536377
apple 0.891204 2372.031250 3930.898926 2496.939453 4035.931641
apple 0.887100 1737.169922 1629.330444 1828.054932 1724.349243
apple 0.884735 1708.409424 1315.334473 1790.879150 1385.248169
apple 0.883796 1405.465576 2953.500732 1495.095215 3041.861328
apple 0.876838 2273.969238 4073.433350 2375.768311 4174.352539
apple 0.875684 1650.598755 2647.147217 1732.962036 2737.975830
apple 0.874712 1392.104370 2310.908936 1490.658447 2405.782471
apple 0.873138 1818.439941 3859.133301 1908.508545 3947.772461
apple 0.869747 1760.246704 2084.122314 1845.084961 2177.256348
apple 0.869385 2459.991211 3232.029785 2553.833740 3325.032227
apple 0.868179 1556.542969 1284.133789 1652.622314 1379.393799
apple 0.863393 1379.754150 1816.296875 1447.273560 1887.518188
apple 0.861315 1344.162842 3703.965332 1416.030640 3760.809570
apple 0.854763 1424.267456 3087.123047 1472.639893 3146.481201
apple 0.854181 1416.025146 1561.887695 1478.585327 1645.466797
apple 0.849547 3454.591553 3161.499756 3543.788086 3237.902100
apple 0.846760 1368.845703 4076.038330 1457.431763 4177.856934
apple 0.843592 1918.828979 3930.437744 1988.399536 3988.889160
apple 0.843557 1492.983521 1984.802612 1594.100220 2072.031006
apple 0.842736 1580.547607 3997.011475 1674.403076 4088.944580
apple 0.841044 1181.686035 2184.936523 1263.330322 2257.211914
apple 0.830195 545.463928 3204.633545 575.823730 3240.438477
apple 0.829507 3357.227783 3049.790039 3432.861816 3128.654541
apple 0.828365 3577.166016 3169.810059 3645.696777 3244.139648
apple 0.827461 1537.559692 3220.708740 1634.593994 3314.847412
apple 0.823171 1961.307495 2800.611572 2035.990356 2884.750488
apple 0.821809 1587.152100 3058.587402 1653.834839 3118.751953
apple 0.814845 1422.816406 3406.835449 1512.958008 3473.164551
apple 0.814313 1876.871216 3621.263428 1956.892944 3710.357666
apple 0.811580 1078.185547 3785.212402 1159.927490 3875.617188
apple 0.805301 1384.692993 1706.404419 1451.139771 1784.547241
apple 0.803465 1697.257690 2479.577393 1748.068115 2549.643311
apple 0.803339 1455.822998 1671.888184 1521.265503 1725.718994
apple 0.794855 1906.142822 3135.017090 2005.185303 3215.918213
apple 0.791518 1556.972046 1765.875610 1642.908081 1840.895142
apple 0.789546 1525.404297 4317.825195 1607.284058 4369.271484
apple 0.785487 1866.336304 3086.261230 1930.230957 3139.934570
apple 0.782622 1682.410034 1989.420288 1763.660400 2051.627930
apple 0.781835 1301.508911 2711.642578 1347.847290 2768.406250
apple 0.772431 2429.950684 3037.088867 2504.626221 3097.752930
apple 0.764531 3471.947021 3307.111084 3539.889160 3368.642578
apple 0.758387 1447.446167 2096.834961 1494.683105 2145.418945
apple 0.743628 1537.675659 2009.466309 1614.857422 2081.652588
apple 0.730667 1766.723755 2779.463135 1821.030151 2828.717773
apple 0.725599 1970.559570 3857.060791 2024.348022 3918.625244
apple 0.718368 629.874512 3206.669922 682.912781 3260.561279
apple 0.710463 1525.785034 4251.739258 1624.021973 4343.856445
apple 0.697788 3264.768066 2970.002197 3328.563965 3010.120361
apple 0.687879 2558.513672 3690.976807 2660.029785 3773.995605
apple 0.685538 1413.560425 3358.097656 1495.161499 3385.920166
apple 0.675143 1557.082031 3584.037842 1626.322510 3641.578857
apple 0.656960 1315.818237 1902.834961 1379.944702 1980.954346
apple 0.654274 1894.517822 3875.592041 1956.842896 3951.360107
apple 0.645719 1483.618774 2586.244873 1560.043457 2660.799316
apple 0.627841 1416.833252 3927.712158 1506.343384 4013.810547
apple 0.620259 1434.159668 3588.786377 1491.045654 3640.850098
apple 0.616732 2379.849121 4014.105957 2476.406982 4064.673340
apple 0.609015 1035.916138 2479.562744 1064.325684 2506.358887
apple 0.603701 2597.086182 3718.257324 2672.729004 3777.697510
apple 0.563633 1497.833740 2282.782715 1574.568237 2353.026123
apple 0.550016 1776.739136 3228.147461 1806.724854 3273.990234
apple 0.547127 1710.551880 1508.546997 1777.071655 1577.866577
apple 0.540703 1836.759277 1148.002808 1916.200073 1223.266968
apple 0.538044 2303.954346 3459.336426 2390.854492 3533.534912
apple 0.533473 1255.326660 2721.147705 1291.581543 2775.656250
apple 0.522052 3264.703369 2929.807129 3334.441162 2963.928711
apple 0.512211 2374.119629 1706.779541 2445.925293 1793.289795
apple 0.510936 1933.060303 2808.123047 1998.953125 2879.950195
apple 0.460602 1719.574829 2561.328125 1795.038208 2633.071045
apple 0.450407 1578.636597 1236.817017 1652.263550 1281.722046
apple 0.431609 1921.994019 3470.408936 2006.205933 3539.174072
apple 0.401665 1591.253540 1125.864014 1668.389404 1194.608887
apple 0.390352 2107.192383 3842.346924 2159.669189 3906.308350
apple 0.387117 1237.140381 2214.418945 1281.656128 2253.909668
apple 0.380898 1693.788208 2459.729248 1776.785767 2533.008789
apple 0.368009 1153.362305 3702.824951 1222.404297 3769.862305
apple 0.353541 1559.171631 1277.928589 1630.337402 1344.181519
apple 0.348443 3265.933594 2938.966797 3342.483887 3006.914307
apple 0.331364 1757.786255 3856.518311 1803.872681 3912.241943
apple 0.328617 1131.488770 1001.268066 1200.612183 1067.109009
apple 0.324869 3601.746826 4355.832520 3645.357422 4415.006836
apple 0.321809 2859.906250 3956.551514 2930.088135 3996.934814
apple 0.314242 1999.055664 4063.637695 2049.444580 4096.806641
apple 0.301875 2013.132568 4261.269531 2093.319580 4334.932129
apple 0.292819 1713.486450 3079.455322 1794.299072 3154.697998
apple 0.280555 2676.216797 3634.958008 2761.138916 3708.237793
apple 0.275820 1382.783936 4119.597168 1444.470459 4182.408203
apple 0.271169 1773.641724 3269.714844 1802.528442 3312.040283
apple 0.264174 3503.749756 3753.884766 3560.921631 3796.473877
