name confidence ymin xmin ymax xmax
apple 0.914072 1360.776733 1686.823120 1458.691528 1787.227173
apple 0.911109 419.511139 3736.182617 532.164734 3837.319092
apple 0.908633 1380.336914 2287.159912 1466.645996 2355.882324
apple 0.904511 1579.744263 1141.231079 1675.658081 1232.695190
apple 0.901576 1934.477539 1039.987671 2039.751709 1145.647705
apple 0.898927 1191.662109 2232.493164 1291.314819 2324.189941
apple 0.897990 1371.949341 4069.772217 1477.529907 4167.125977
apple 0.894021 1700.876831 1645.407837 1804.101318 1741.648682
apple 0.893977 1684.347290 1794.920654 1781.099243 1871.018311
apple 0.893600 1702.738403 3085.937500 1782.405273 3155.756836
apple 0.889763 1735.766724 2173.419434 1826.081787 2265.784668
apple 0.889585 1841.995605 2498.156494 1935.234131 2578.057373
apple 0.889317 1714.046387 3310.081543 1815.328979 3402.956299
apple 0.886622 2255.454590 3609.315918 2314.404297 3692.344238
apple 0.886394 1652.156372 1258.697021 1748.763794 1351.061401
apple 0.881938 975.761780 2625.907959 1065.615356 2705.308105
apple 0.879286 1240.567261 1982.681641 1341.286133 2085.062012
apple 0.878373 1551.549194 3592.671387 1648.497192 3693.905518
apple 0.877328 1786.723999 1230.277466 1896.132080 1326.230591
apple 0.877218 1980.353516 3200.600586 2060.238770 3272.285889
apple 0.872165 2742.421387 3780.451904 2843.147949 3870.276123
apple 0.871753 1974.289185 4629.383789 2076.806152 4727.006836
apple 0.871184 1505.603638 2473.621338 1599.066406 2569.192139
apple 0.869058 1723.582642 3641.843506 1825.854492 3736.886719
apple 0.866861 2475.212891 3863.427490 2564.906738 3961.669189
apple 0.865807 1207.085693 2533.053223 1288.911865 2604.831055
apple 0.864209 1114.070312 2299.709717 1193.942627 2392.798340
apple 0.863392 1120.459106 2974.042236 1193.279541 3045.423096
apple 0.862216 1720.831543 2870.988037 1797.987183 2961.579346
apple 0.861224 1277.916382 2304.649414 1372.947266 2395.597168
apple 0.860961 27.042097 1973.402710 100.104736 2049.769531
apple 0.856862 1774.147827 3130.138428 1828.592041 3192.709473
